genome,host,date,completeness,geo,spc,is_host_adapted,is_human_infection,temp_22,temp_25,temp_37,opt_temp,opt_ph,growth_rate,ref
GCA_004113655.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_004113865.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_008762175.1,Homo sapiens,2005-04/2017-05,97.47,Czech Republic,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_008762205.1,Homo sapiens,2005-04/2017-05,97.47,Czech Republic,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_008762405.1,Homo sapiens,2005-04/2017-05,97.47,Czech Republic,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_009208295.1,Homo sapiens,20/10/2017,97.47,Malaysia: Sabah,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_009208335.1,Homo sapiens,22/02/2018,97.47,Malaysia: Sabah,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_009208355.1,Homo sapiens,15/03/2018,97.47,Malaysia: Sabah,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_009663875.1,Homo sapiens,2017-09,97.47,Nepal,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_009932575.1,Homo sapiens,2015,97.47,Ecuador,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_013010385.1,Homo sapiens,19/04/2019,97.47,Belarus:Minsk,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_014900095.1,Homo sapiens,,97.47,Moldova,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_023865235.1,Homo sapiens,2017,97.47,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_024651345.1,Homo sapiens,01/01/2017,97.47,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_024651465.1,Homo sapiens,01/01/2015,97.47,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_024651485.1,Homo sapiens,01/01/2015,97.47,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_025916805.1,Homo sapiens,20/10/2020,97.47,Ecuador: Guayaquil,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_025916995.1,Homo sapiens,20/08/2020,97.47,Ecuador: El Empalme,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_030053035.1,Homo sapiens,24/04/2019,97.47,Belarus,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_030242515.1,Homo sapiens,,97.47,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_031625605.1,Homo sapiens,02/04/2021,97.47,India: Assam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_031626115.1,Homo sapiens,11/03/2020,97.47,India: Sikkim,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900120585.1,Homo sapiens,2009,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900120645.1,Homo sapiens,2009,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900122045.1,Homo sapiens,2011,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900122235.1,Homo sapiens,2010,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900122775.1,Homo sapiens,2011,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900123505.1,Homo sapiens,2011,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900123785.1,Homo sapiens,2009,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900124035.1,Homo sapiens,2009,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900124195.1,Homo sapiens,2009,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900124235.1,Homo sapiens,2009,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900127245.1,Homo sapiens,2009,97.47,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900709215.1,,,97.47,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001083085.1,Homo sapiens,2008/2014,97.47,South Africa: Stellenbosch,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001209385.1,Homo sapiens,1994-081994,97.47,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001321705.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001321765.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001322165.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001322305.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001322485.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001323145.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001323485.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001323985.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001324045.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001324205.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001324785.1,Homo sapiens,2010,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001325625.1,Homo sapiens,2010,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001327955.1,Homo sapiens,2004,97.47,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001350535.1,Homo sapiens,2008/2014,97.47,South Africa: Stellenbosch,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001375815.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001376615.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001376855.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001377135.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001377335.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001377615.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001377795.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001377855.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001377955.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001378175.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001378295.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001378375.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001378495.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001379015.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001379075.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001379215.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001379715.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001380235.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001380275.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001380415.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001380535.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001381535.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001381935.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001381975.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001382135.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001382475.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001382515.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001382655.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001383015.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001383215.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001383275.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001383435.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001383495.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001383635.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001383735.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001383855.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001384615.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001384755.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001385315.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001385935.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001386395.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001386535.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001386615.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001387435.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001388435.1,Homo sapiens,2008,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001389775.1,Homo sapiens,2010,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001390115.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001391075.1,Homo sapiens,2009,97.47,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001839815.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001840465.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001840515.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001840625.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001840845.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001841425.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001841445.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001841475.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001841505.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001841605.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001841615.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001841905.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001841945.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001842105.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001843335.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001843725.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001843845.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001843895.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001844145.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001845545.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001845895.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001845925.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001846465.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001846545.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001847235.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001847445.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001847705.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001847925.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001848175.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001848475.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001848695.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001849045.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001849095.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001849175.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001849325.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001850125.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001850195.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001850405.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001850745.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001850785.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001851125.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001851475.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001851705.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001852045.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001852095.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001852125.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001852265.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001852815.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001853195.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001889725.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001895765.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001895865.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001942785.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001942795.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001942905.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001943105.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001943185.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001943265.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001943805.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001943915.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001944135.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001944955.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001945775.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001945925.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001946005.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001946165.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001946355.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001946875.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001947035.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001947045.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001947745.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001948385.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001948625.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001948845.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002129005.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002129245.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002129945.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002130135.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002130565.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002131185.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002131245.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002131285.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002131405.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002131485.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002135065.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002447035.1,Homo sapiens,01/07/2008,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002448075.1,Homo sapiens,01/07/2008,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002886775.1,Homo sapiens,2010,97.47,Guatemala,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002886945.1,Homo sapiens,2011,97.47,Guatemala,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002939665.1,Homo sapiens,1991/2001,97.47,USA: San Francisco CA,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_003311705.1,Homo sapiens,08/03/2017,97.47,Myanmar: Yangon,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_003546445.1,Homo sapiens,03/10/2011,97.47,Philippines,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004104775.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004104865.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004105065.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004105205.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004106075.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004106365.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004106375.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004106995.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004107035.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004107195.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004107205.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_004107265.1,Homo sapiens,01/01/2012,97.47,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
